Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"f(n) = 2, g(n) = 56 log(n), h(n) = 17n log(n)Which of the following statements is correct?
", ,"g is O(f), g is O(h), f is (h)
", , , ,"Very similar but just different numbers to Q3 of the 2017-18 exam from two years ago.
",
"When creating a new hashtable, why should we create it such that it has a prime number of buckets?I.e. we should only create hashtables w/ a prime number of buckets, for example 2021 buckets rather than 2000.
", ,"Ensures fewer collisions and more even distribution of values
", , , ,"Using prime numbers ensures fewer collisions and more even distributions. slide 35 Week 10b
",
"If N = 91, and k 1 mod 72, then mod N.What is the value of ?
", , ,"x = 14
", , ,"Rivest–Shamir–Adleman (RSA) Corollary from Lecture 11b.N =pq, where p and q are distinct primes (p=7,q=13)k 1 mod((p-1)(q-1)) = 1 mod(6.12) = 1 mod 72Hence the Corollary states = mod N, so our answer is C) x = 14
",
"Here is a binary tree: 10 / \ 5 15 / / \2 11 20 / 18What would the preorder traversal be?
", , ,"10, 5, 2, 15, 11, 20, 18
", , ,,"spf29 (spf29)
"
"Take the input array: [49, 42, 67, 85, 23, 56, 34, 15]. After one iteration of h-sorting (the underlying operation in Shellsort) with h = 4, what is the resulting array?
", ,"[23, 42, 34, 15, 49, 56, 67, 85]
", , , ,"Applying h-sorting as specified in 2019 Week5a PowerPoint Slides 3-6 to the array.
",
"Let there be a standard, closed hash table with linear probing from left to right, with slots from 0 to 10. Consider a hash function h(x) = x % 11. Inserting elements in order: 19, 30, 41, 1110, 9, 17, 108, 555, 125, 234, 5. What does the hash table look like at the end?
", , , , ," None of the above
","Week 10b, from slide 14. Answer should have been 1110, 9, 108, 234, 125, 555, 17, 5, 19, 30, 41.
",
"An closed hash table of length 10 is used with hash function h(k)=k%10, and linear probing. After inserting 6 values into an empty hash table, the table is as shown below.012 423 234 345 526 467 3389In what order where the values inserted?
", , ,"46, 34, 42, 23, 52, 33
", , ,"In the first one the numbers would be ordered in the following way 42 52 34 33 46 23in the second one, they would be ordered as 52 23 34 33 46 42and in the last one, 42 23 34 33 52 46only one that works is CBecause it's a closed hash table, when the key we want to put a number in is full, we have to look for the next empty one
",
"Supposeis the adjacency matrix representing a graph. Which of the following is the matrix representing vertices that areedges apart, whereis a natural number?
", ,"
", , , ,"From 2019 Lecture 17 slides 10 and 11,would tell us the vertices that are 2 edges apart andwould tell us which vertices are 3 edges apart. Thereforetells us the vertices which areedges apart.
",
"What is the best case time complexity for the following code snippet:public static void sort(int[]array) { for(int i = 0; i<array.length-1; i++) { int min = array[I]; int minIndex = I; for(int j = i+1; j<array.length;j++) { if(array[j]<min) { min = array[j]; minIndex = j; } } int temp = array[minIndex]; array[minIndex] = array[I]; array[i] = temp; }}
","O(n2)
", , , , ,"This code is the sorting algorithm for selection sort. The complexity of selection sort in the best, average and worst case isO(n2).For more information about selection sort: Week 4a-post 2019 slides 6 to 8.
",
"Below this paragraph is a diagram of tree; A / \ B C / \D EConsidering with the list of values, describe how 'Post-order' search / traversal is done by showing what the output would be for this search / traversal method:
", , ,"D, E, B, C, A
", , ,"D, E, B, C, A - This is 'Post order' traversalD, B, E, A, C - This is 'In order' traversalA, B, D, E, C - This is 'Pre order' traversalD,E,B,A,C and D,B,E,C,A are not any form of searching or traversal!
",
"Regarding Hash Tables, which of the followingstatements is false?
", , ,"Open Hash Tableshandle collisions by inserting objects to the next sequentially available index.
", , ,"It takes on average O(1) for all operations to be performed in an Hash Table. It can take O(n) operations, if you were considering the worst case for a Hash Table.Open Hash Tables handles collisions by adding values to the end of the list. Closed Hash Tables handle collisions by inserting objects to the next sequentially available index.Hash Tables need to be sized for the load factor because it is calculated by the number of values you intend to add, divided by the number of buckets in the array.
",
"What is the best time complexity for sorting a sorted list using selection sort?
", , ,"O(n2)
", , ,"Selection sort has worst, best and average time complexity of O(n2) because it runs through the whole list multiple times whether the list is sorted or not
",
"Let p = 5. What is 29equivalent to mod p? Hint: see lecture 11b 2019
","
", , , , ,,"md825 (md825)
"
"What is the average case time complexity of insertion sort?
", ,"
", , , ,"Best case for insertion sort is, however worst case and average case is.
",
"Which of the following sorting algorithms is stable?
","Merge sort
", , , , ,,"md825 (md825)
"
"A company wants to store 10,000 values in a closed hash table using linear probing to find values.To be fast enough, they require values to be found in no more than three steps of linear probing on average.What is the minimum number of buckets that should be used for the closed hash table for this condition to be met?
", ,"12,500 buckets
", , , ,"We can calculate the average number of steps linear probing will take based on the load factor using this expression: (2019 week 10b, slide 31)Since we know the average number of steps, three, we can rearrange this function to find the required load factor : where n is the average number of steps. Evaluating this gives .The company wants to insert 10,000 values, so we can work out how big the hash table should be using .
",
"Consider the following AVL tree:After inserting the value 7, what sequence of rotations would be required to rebalance the tree?(The subtrees at which rotations are applied are left unspecified)
", , ,"A left rotation, then a right rotation.
", , ,"The value 7 would be inserted as 6's right child. This causes 8 to have a balance factor of -2, meaning its left subtree is two nodes higher than its right subtree (which is empty). The 8 subtree must be rebalanced.We cannot perform any left rotations at node 8 because it has no right child to take its place.A right rotation at 8 gives the following tree, which is symmetrically as unbalanced as before:To properly balance the tree, we must first perform a left rotation at node 6 followed by a right rotation at node 8, as shown in the following two trees:The final tree is now balanced (node 4 has a balance factor of 1, node 7 has a balance factor of 0).
",
"Let p and q be primes such that p*q = N and p != q.If (p-1)(q-1) = 36What is N?
", , ,"N = 57
", , ,"p = 3 and q = 19 so 3*19 = 57
",
"This adjacency matrix shows who is friends with who.Which node has the most friends?
","1
", , , , ,"Node 1: has 2 friendsNode 2: has 1 friendNode 3: has 0 friendsNode 4: has 1 friend
",
"What doesSystem.currentTimeMillis() measure?
", ,"The number of milliseconds since 1 Jan 1970.
", , , ,"Solution: Week 1(b) Slide 2 2019
",
"What is 413 mod 7?
", , , ,"4
", ,"Application of Fermat's Little Theorem 2019 Lectures - Week 11b - Slide 12. p = 7, k = 1 mod 6, x = 4.
",
"Suppose you are creating a new social media platform that allows people to create a single account for themself. Then they can add any people that they are friends with who are also using the platform to their list of friends.As the platform is still fairly new, the number of people using the platform is significantly less than the total number of friends assigned between people.You want to represent a graph showing all people on the platform (as vertices on the graph) and the friends each person has (as the edges on the graph).Is it better to represent this graph using an adjacency matrix or an adjacency list?
","Adjacency Matrix
", , , , ,,"connor_crees (cic41)
"
"Given a large data set to sort, which of the following sorting algorithms would be the best to use based on its average time complexity?
", , ,"Quick Sort
", , ,,"connor_crees (cic41)
"
"Place the following algorithms in order of most to least efficient when dealing with around 10,000 items:A: Bubble sortB: Quick sortC: Bucket sortConsider the average case complexities.
", ,"CBA
", , , ,"Bubble sort: O(n2)Quick sort: O(nlogn)Bucket sort: O(n + k), where k is the number of bucketsInterestingly, will much more data, 'clustering' can occur, meaning that many items are put into the same bucket and thus can take longer, hence the specified amount of data.https://smartbear.com/blog/develop/bucket-sort-vs-quick-sort-which-is-faster-aqtime-b/ is an interesting read :)
",
"Which of these lines best represents the time complexity of a binary search algorithm?
", , ,"Graph C
", , ,,"moi21 (moi21)
"
